Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,57.189999,57.860001,48.119999,50.840000,42.740952,191989500
2008-02-01,50.849998,51.029999,44.000000,46.480000,39.075523,156703700
2008-03-01,46.230000,47.369999,33.570000,34.360001,28.886293,293239400
2008-04-01,34.849998,38.330002,32.500000,32.630001,27.455841,226787000
2008-05-01,32.720001,35.770000,31.490000,34.209999,28.785290,257294200
2008-06-01,34.220001,34.419998,25.500000,26.250000,22.087511,309936900
2008-07-01,26.120001,28.969999,21.200001,28.080000,23.627337,357437500
2008-08-01,27.990000,33.490002,27.440001,30.450001,25.621525,174608600
2008-09-01,30.490000,31.389999,21.000000,25.389999,21.363888,203281600
2008-10-01,25.969999,25.990000,14.510000,23.730000,19.967117,305228000
2008-11-01,23.680000,24.490000,15.190000,21.010000,17.678427,196076300
2008-12-01,21.670000,27.309999,19.049999,26.600000,22.382017,182675600
2009-01-01,26.700001,30.250000,23.770000,28.330000,23.837694,197849000
2009-02-01,28.000000,30.250000,19.420000,19.650000,16.534082,289614500
2009-03-01,19.190001,22.889999,16.180000,20.930000,17.611107,343674000
2009-04-01,20.610001,26.100000,19.850000,23.520000,19.819363,289077700
2009-05-01,23.559999,29.690001,22.740000,26.600000,22.414753,205106600
2009-06-01,26.900000,28.430000,23.230000,24.980000,21.049644,278463500
2009-07-01,25.090000,29.709999,23.690001,28.059999,23.645039,234371800
2009-08-01,28.340000,30.000000,25.420000,28.000000,23.594482,193463900
2009-09-01,27.940001,29.879999,24.520000,25.040001,21.100208,264571800
2009-10-01,24.889999,26.799999,23.500000,25.950001,21.867025,308267500
2009-11-01,26.020000,29.740000,25.639999,28.670000,24.159058,189972900
2009-12-01,29.000000,33.250000,27.299999,30.480000,25.684273,333531300
2010-01-01,31.379999,36.070000,30.969999,33.000000,27.807781,278076300
2010-02-01,33.029999,34.299999,31.389999,33.860001,28.532471,218638400
2010-03-01,34.000000,35.160000,31.930000,32.669998,27.529696,262189500
2010-04-01,32.799999,34.000000,29.620001,30.309999,25.541021,290275300
2010-05-01,30.500000,30.740000,27.969999,29.070000,24.518633,200376300
2010-06-01,29.180000,31.799999,28.309999,28.400000,23.953547,235428300
2010-07-01,28.309999,31.719999,27.129999,30.450001,25.790363,184052600
2010-08-01,30.889999,33.790001,30.820000,31.719999,26.866018,175165600
2010-09-01,32.009998,35.939999,31.840000,35.110001,29.737259,160229900
2010-10-01,35.070000,37.950001,33.939999,36.049999,30.646015,171901700
2010-11-01,36.270000,37.500000,34.500000,36.520000,31.045570,180833400
2010-12-01,37.139999,38.060001,34.939999,36.110001,30.697031,159579700
2011-01-01,36.380001,42.439999,36.369999,41.049999,35.011520,162433900
2011-02-01,41.360001,44.330002,40.900002,42.580002,36.316467,125298200
2011-03-01,42.560001,45.750000,41.459999,45.200001,38.551060,121843800
2011-04-01,45.500000,49.400002,43.299999,49.230000,42.109093,136937300
2011-05-01,49.400002,51.459999,46.970001,48.950001,41.869591,158332700
2011-06-01,48.700001,52.639999,47.570000,51.580002,44.119179,165969400
2011-07-01,51.840000,53.500000,48.110001,49.630001,42.591789,148267000
2011-08-01,50.279999,50.360001,41.270000,47.520000,40.781013,231912900
2011-09-01,47.580002,51.240002,44.090000,46.119999,39.579556,178852800
2011-10-01,45.770000,50.000000,41.320000,47.990002,41.327145,181413500
2011-11-01,46.810001,48.880001,43.419998,48.770000,41.998848,144450500
2011-12-01,48.590000,51.709999,47.630001,50.680000,43.643673,132044300
2012-01-01,51.240002,54.180000,49.820000,51.790001,44.750797,156819300
2012-02-01,52.160000,56.160000,50.680000,55.750000,48.172550,132436700
2012-03-01,55.750000,59.430000,53.400002,58.939999,50.928997,139862700
2012-04-01,58.939999,59.709999,55.480000,56.150002,48.660458,134294800
2012-05-01,56.270000,57.419998,53.779999,55.770000,48.331150,115177500
